Player,Team,Camera shake,FOV,Height,Angle,Distance,Stiffness,Swivel speed,Transition speed,Ball camera,Last updated
( april ),,No,110,110,-3.0,270,0.55,10.00,1.80,Toggle,2025-10-01
.pyyros,NC,No,110,100,-4.0,270,0.50,10.00,1.20,Toggle,2023-12-04
0ver Zer0,,No,110,90,-4.0,270,0.65,7.50,1.70,Toggle,2021-10-07
1zen,,No,110,110,-3.0,280,0.30,8.00,1.20,Toggle,2023-04-03
2Die4,,No,110,100,-3.0,270,0.40,10.00,1.40,Toggle,2024-06-30
2Piece,,No,110,90,-4.0,270,0.45,6.50,1.60,Toggle,2023-02-24
43,,No,110,110,-3.0,270,0.50,4.30,1.30,Toggle,2020-07-30
5bs,,No,110,100,-4.0,270,0.35,5.60,1.30,Toggle,2022-02-21
AJF,NRD,No,110,100,-3.0,270,0.35,10.00,1.50,Toggle,2025-03-18
ASN_RuBiiX,SNG,No,110,100,-5.0,270,0.55,6.20,1.20,Toggle,2022-08-13
AYYJAYY,GAS,No,109,90,-4.0,270,0.45,10.00,2.00,Toggle,2024-10-21
aZapatos,SDSU,No,110,100,-4.0,260,0.40,10.00,1.80,Toggle,2025-06-02
Abdulaziz,INF,No,110,100,-3.0,270,0.45,7.10,1.10,Toggle,2021-10-19
Abdullah,ROC,No,110,100,-3.0,270,0.35,5.00,1.10,Toggle,2025-02-17
abood.,INF,No,110,80,-5.0,270,0.40,5.00,1.00,Toggle,2022-04-29
Abscrazy,BDAW,No,110,100,-3.0,270,0.35,4.0,1.00,Toggle,2023-11-08
AbsorbentKarma,,No,110,110,-3.0,260,0.45,5.00,1.50,Toggle,2021-05-08
AbuLba,,No,110,110,-3.0,270,0.40,4.30,1.30,Toggle,2022-01-31
accro,2D1B,No,109,90,-4.0,270,0.45,10.00,1.70,Toggle,2024-08-17
acqua,,No,110,90,-4.0,270,0.40,2.90,1.50,Toggle,2021-05-31
AcroniK.,,No,110,100,-3.0,270,0.35,6.00,1.30,Toggle,2024-08-17
Addzey,,No,110,100,-4.0,270,0.45,5.20,1.00,Toggle,2019-08-14
Adverse,CRH,No,110,100,-4.0,270,0.40,4.70,1.20,Toggle,2022-02-07
Aech,CSU,No,110,100,-4.0,270,0.60,4.30,1.00,Toggle,2022-11-13
aenia,DB,No,110,100,-4.0,270,0.45,6.20,1.40,Toggle,2020-08-16
Aeon,,No,110,100,-5.0,270,0.45,4.00,1.30,Toggle,2021-05-08
Aero,DAP,No,110,90,-4.0,260,0.45,7.00,1.70,Toggle,2025-02-23
aguz,FO,No,110,100,-3.0,270,0.35,4.00,1.00,Toggle,2024-11-19
Ahduhm,NAH,No,110,100,-3.0,270,0.55,5.00,1.60,Toggle,2023-07-24
Ahmad,,No,110,90,-5.0,270,0.40,5.00,1.00,Toggle,2023-12-15
Aiipa,DAWN,No,110,90,-4.0,270,0.40,3.40,1.40,Toggle,2022-03-19
Aimz,,No,109,100,-4.0,270,0.40,6.00,1.40,Toggle,2022-01-02
Air,,No,110,110,-4.0,280,0.45,5.50,1.00,Toggle,2022-01-04
AjC,,No,110,100,-3.0,270,0.50,7.10,1.00,Toggle,2020-11-15
ajg,,No,110,100,-3.0,270,0.35,5.50,1.90,Toggle,2024-08-17
Akame,,No,110,100,-4.0,270,0.45,7.80,1.90,Toggle,2023-01-29
akikansu,,No,110,90,-4.0,260,0.60,6.00,1.20,Toggle,2020-11-04
alraz,BOLI,No,110,100,-4.0,280,0.40,2.90,1.10,Toggle,2022-10-25
Al Dente,,No,110,110,-3.0,260,0.60,10.00,1.20,Toggle,2019-02-07
Alanis,BSCO,No,110,110,-3.0,270,0,6.00,1.20,Toggle,2024-04-14
Aleksiii,ACCA,No,110,100,-3.0,270,0.40,5.00,1.50,Toggle,2020-10-30
alemz,,No,110,100,-3.0,270,0.30,6.20,1.70,Toggle,2024-10-23
Alex161,,No,110,100,-5.0,270,0.40,7.50,1.40,Toggle,2021-01-18
Alex837,HKE,No,110,110,-4.0,270,0.40,4.70,1.80,Toggle,2022-04-18
Ali.,,No,110,110,-3.0,270,0.55,4.00,1.40,Toggle,2021-10-17
alpe,,No,110,90,-5.0,270,0.35,10.00,2.00,Toggle,2024-07-13
Alpha54,VIT,No,110,110,-3.0,270,0.35,3.70,1.00,Toggle,2024-08-16
AlphaKep,STEP,No,110,100,-3.0,270,0.35,4.00,1.00,Toggle,2025-02-23
Alphha23,GVSU,No,110,100,-4.0,270,0.45,4.70,1.30,Toggle,2024-01-17
Alxx,NOM,No,110,100,-4.0,270,0.40,4.70,1.00,Toggle,2025-05-02
Alyiuu,DAWN,No,110,100,-4.0,260,0.60,4.70,1.40,Toggle,2022-02-11
amatel,YFM,No,109,100,-4.0,260,0.65,4.70,1.00,Toggle,2024-05-03
Amphis,TSM,No,110,100,-3.0,260,0.40,2.40,1.20,Toggle,2024-07-29
ams,ESP,No,110,100,-4.0,270,0.40,6.00,1.20,Toggle,2021-10-17
Andy,1,No,110,100,-4.0,270,0.45,5.00,1.40,Toggle,2025-01-19
Angel,WVU,No,110,90,-4.0,270,0.40,5.00,1.00,Toggle,2022-08-01
angie,,No,110,100,-3.0,270,0.55,5.00,1.50,Toggle,2021-03-17
AnoriQ,HKE,No,110,80,-3.0,270,0.30,4.30,1.20,Toggle,2025-06-08
Anthony8Pizza,SU,No,110,90,-5.0,270,0.45,10.00,1.50,Toggle,2022-10-09
Antix,BHC,No,109,90,-3.0,270,0.40,7.50,1.50,Toggle,2022-10-27
Anyeelo.,,No,110,110,-4.0,270,0.45,4.30,1.30,Toggle,2024-02-02
aoe_emp,,No,110,150,-1.0,270,0.50,4.50,1.30,Toggle,2020-06-23
ApparentlyJack,GK,No,110,100,-3.0,270,0.4,2.2,1.4,Toggle,2025-06-29
Apples_on_Anxiety,RBRN,No,110,100,-3.0,270,0.35,5.30,1.30,Toggle,2024-05-12
Aqua,BOYS,No,110,100,-5.0,270,0.40,4.70,1.20,Toggle,2020-12-15
arafar,ST1,No,110,90,-3.0,270,0.25,4.00,1.80,Toggle,2025-05-05
arceon,,No,110,100,-5.0,260,0.45,5.40,1.20,Toggle,2022-04-27
Arch,YFM,No,110,110,-4.0,310,0.40,10.00,1.70,Toggle,2021-10-22
Archie,M8,No,109,90,-4.0,270,0.60,2.00,1.20,Toggle,2024-07-30
aris,POAB,No,110,100,-3.0,270,0.35,4.00,1.00,Toggle,2023-12-15
arju,SHU,No,109,90,-5.0,260,0.40,4.00,1.30,Toggle,2025-01-17
Arrow,YFM,No,110,100,-4.0,280,0.40,1.00,1.00,Toggle,2022-01-22
Arsenal,FORT,No,110,100,-3.0,270,0.35,4.20,1.30,Toggle,2025-08-22
Artyrus,RAZN,No,110,110,-3.0,260,0.35,6.00,1.20,Toggle,2019-11-28
AryaNeil,,No,110,110,-4.0,270,0.40,8.00,1.80,Toggle,2021-10-15
Asher.,LOUD,No,110,90,-4.0,270,0.40,5.00,1.00,Toggle,2021-01-09
Ashllxyy,,No,110,90,-4.0,270,0.35,3.50,1.50,Toggle,2025-02-23
Asphyx,,No,110,100,-4.0,270,0.40,3.90,1.00,Toggle,2022-01-02
astro,,No,109,110,-3.0,260,0.60,3.80,1.00,Toggle,2023-04-25
Astroh,USM,No,110,90,-5.0,270,0.40,4.70,1.40,Toggle,2022-11-02
AtomiK,,No,109,90,-5.0,270,0.45,5.10,1.50,Toggle,2025-06-11
Atomic,NRG,No,110,100,-3.0,270,0.35,6.90,1.20,Toggle,2025-09-14
Atow.,KC,No,110,100,-3.0,270,0.40,4.20,1.40,Toggle,2024-12-20
Auriginal,,No,108,100,-3.0,270,0.65,5.00,1.00,Toggle,2022-03-20
Aurora,,No,110,90,-3.0,260,0.45,7.00,1.30,Toggle,2024-07-20
Avenger,,No,110,100,-3.0,270,0.50,5.00,1.70,Toggle,2020-12-06
Aviator,JUN,No,110,90,-4.0,270,0.40,10.00,1.50,Toggle,2023-05-22
Ayell,,No,110,110,-3.00,270,0.70,3.20,1.30,Toggle,2023-06-25
aygius,,No,110,90,-5.0,270,0.50,7.00,1.30,Toggle,2023-06-05
ayjacks,LSU,No,110,100,-4.0,270,0.40,4.50,1.00,Toggle,2022-05-19
Azara,,No,110,100,-3.0,260,0.40,6.60,1.40,Toggle,2023-11-01
Azfura,NRG,No,110,110,-3.0,270,0.45,6.00,1.20,Toggle,2022-09-28
Aziz,BSM,No,110,100,-3.0,270,0.35,5.00,1.80,Toggle,2023-10-23
Azmo,,No,110,100,-4.0,250,0.70,4.30,1.30,Toggle,2022-09-17
AztraL,,No,110,90,-4.0,270,0.40,6.00,1.40,Toggle,2025-05-25
Aztromick,MIBR,No,110,100,-5.0,270,0.40,4.00,1.00,Toggle,2024-10-20
boom,,No,110,90,-3.0,270,0.40,5.00,1.20,Hold,2021-05-09
B2seL,TV,No,110,100,-3.0,270,0.35,5.00,1.20,Toggle,2023-02-20
BJayB,,No,110,90,-4.0,260,0.50,6.00,1.20,Toggle,2021-01-01
BKQSS,,No,110,100,-3.0,270,0.40,6.40,1.50,Toggle,2025-01-31
Bacon,,No,110,90,-5.0,260,0.65,10.00,1.40,Toggle,2021-07-18
badnezz,SICK,No,110,100,-3.0,270,0.35,6.40,1.70,Toggle,2023-04-17
Bairechuu,,No,109,100,-4.0,270,0.60,7.00,1.70,Toggle,2024-02-02
Baked Potato,,No,110,100,-5.0,270,0.40,10.00,1.40,Toggle,2022-01-02
Bal,,No,110,90,-4.0,270,0.55,7.00,1.60,Toggle,2020-08-16
ballerrees,,No,110,110,-3.0,260,0.50,4.20,1.10,Toggle,2020-07-10
Bambii,UCF,No,110,90,-5.0,270,0.45,10.00,1.00,Toggle,2021-08-18
bananahead,WC,No,109,100,-3.0,270,0.45,6.70,1.40,Toggle,2025-02-16
Banane,DUCK,No,109,90,-4.0,270,0.45,10.00,1.20,Toggle,2022-05-14
Bands,,No,110,90,-3.0,270,0.45,3.20,1.80,Toggle,2024-12-16
Bang,TSG,No,110,90,-4.0,270,0.35,10.00,1.50,Toggle,2023-07-19
Banger,USF,No,110,100,-3.0,270,0.45,6.00,1.60,Toggle,2021-12-15
Barist,SCCGR,No,110,110,-4.0,270,0.50,10.00,1.60,Toggle,2022-05-03
Baz,,No,110,100,-2.0,260,0.15,5.60,1.30,Toggle,2023-01-29
BeastMode,NRG,No,109,90,-4.0,270,0.45,7.00,1.20,Toggle,2025-09-14
Beastaboniam,SIT,No,110,110,-3.0,270,0.50,5.30,1.30,Toggle,2021-05-09
beasty,,No,110,80,-5.0,270,0.35,10.00,1.50,Toggle,2024-05-30
Beeyu,,No,110,100,-4.0,280,0.45,7.00,1.20,Toggle,2021-05-30
Bella,GENG,No,110,90,-4.0,270,0.45,4.20,1.30,Toggle,2024-08-17
Bemmz,CHR,No,110,100,-4.0,270,0.35,5.00,1.90,Toggle,2024-07-13
Ben.,PUPS,No,109,100,-2.0,270,0.40,8.00,1.20,Toggle,2024-04-28
bibbaba,NOM,No,110,90,-4.0,260,0.40,4.00,1.50,Toggle,2025-01-18
Big-E,IU,No,110,110,-4.0,280,0.40,4.20,1.10,Toggle,2023-04-03
BigFoot,,No,110,110,-3.0,270,0.50,3.00,1.50,Toggle,2023-05-07
Bigrooster,MACC,No,110,100,-3.0,260,0.55,7.00,1.50,Toggle,2023-03-26
Bilbo,,No,110,100,-4.0,270,0.40,6.00,1.20,Toggle,2022-03-27
billy,YY,No,109,90,-4.0,270,0.60,3.00,1.60,Toggle,2024-05-26
bishop,,No,110,100,-4.0,270,0.40,4.20,1.40,Toggle,2023-07-24
Bits,UCF,No,110,100,-4.0,270,0.40,5.00,1.00,Toggle,2021-05-09
Blackstrike,VLT,No,110,90,-4.0,270,0.40,7.70,1.40,Toggle,2020-10-06
Blanks,MIZZ,No,110,100,-3.0,260,0.45,4.20,1.30,Toggle,2021-05-09
blaze.,BBC,No,109,90,-3.0,270,0.30,8.00,1.20,Toggle,2023-07-24
Blue,,No,110,100,-5.0,270,0.40,5.50,1.70,Toggle,2021-10-02
bluey.,,No,110,90,-4.0,270,0.35,7.00,1.20,Toggle,2022-04-28
Blurry,,No,110,90,-4.0,220,0.45,7.30,1.60,Toggle,2024-12-27
bmendes,,No,110,100,-3.0,270,0.45,4.20,1.20,Toggle,2023-01-22
Bobsto,FLP,No,110,100,-4.0,260,0.45,7.0,1.2,Toggle,2021-10-26
Bolti,DUB,No,110,90,-4.0,270,0.45,10,1.50,Toggle,2025-03-11
bora,TL,No,110,100,-3.0,270,0.40,5.00,1.50,Toggle,2025-02-02
Borito B,,No,110,100,-3.0,260,1.00,2.50,1.00,Toggle,2019-01-15
BoscoBoy,,No,110,100,-4.0,270,0.40,4.00,1.30,Toggle,2025-05-05
boy974s,,No,110,100,-4.0,290,0.45,4.20,1.00,Toggle,2022-01-24
brad,CHR,No,110,100,-3.0,270,0.35,5.10,1.60,Toggle,2025-05-30
Bram.,,No,110,110,-4.0,260,0.60,3.20,1.00,Toggle,2022-04-22
bran,PSU,No,110,100,-4.0,270,0.40,5.20,1.20,Toggle,2022-05-08
Bread2k,POR,No,109,90,-4,280,0.60,10.00,2.00,Toggle,2023-03-16
Breezi,CHI,No,110,100,0.0,250,0.5,8.00,1.40,Toggle,2025-03-16
Brenox,86,No,110,90,-4.0,270,0.40,5.00,1.00,Toggle,2021-02-08
breyyn,PAY,No,110,90,-4.0,270,0.40,7.00,1.30,Toggle,2021-12-30
Broc,DUB,No,110,100,-3.0,270,0.45,5.50,1.50,Toggle,2024-10-18
Brocli,OUKS,No,110,90,-5.0,270,0.45,6.00,1.80,Toggle,2023-03-10
BrohnB,LSU,No,110,110,-5.0,270,0.40,6.20,1.20,Toggle,2021-06-03
Broken,UL,No,110,100,-4.0,270,0.45,2.40,1.20,Toggle,2022-04-06
Brownie,,No,110,110,-3.0,260,0.60,3.60,1.00,Toggle,2020-05-14
bruhkay,GNXK,No,110,90,-4.0,270,0.35,4.00,1.00,Toggle,2023-05-19
bruz,DTP,No,110,110,-3.0,270,0.35,3.20,1.20,Toggle,2022-11-25
Bryza,R4G,No,110,100,-4.0,270,0.35,6.30,1.30,Toggle,2022-07-16
Bubz,,No,110,100,-3.0,260,0.25,10.00,1.40,Toggle,2022-03-16
Buddha,,No,110,110,-5.0,210,0.50,4.00,1.00,Toggle,2020-09-27
Buddy,,No,110,110,-3.0,270,0.50,5.50,1.50,Toggle,2023-07-24
Buffy,,No,109,100,-5.0,270,0.50,5.00,1.60,Toggle,2022-03-11
Bullzzeye,BBB,No,110,100,-4.0,270,0.55,3.30,1.00,Toggle,2022-11-09
Bumpin,,No,110,100,-3.0,280,0.35,5.00,1.20,Toggle,2025-02-17
BunnyDummy,,No,108,90,-4.0,280,0.40,5.00,1.00,Toggle,2022-04-28
Burn,DST,No,110,100,-5.0,270,0.40,3.90,1.20,Toggle,2025-03-14
Burnie,MST,No,110,100,-4.0,270,0.40,5.50,1.40,Toggle,2021-06-11
Busse,CLDM,No,110,110,-3.0,260,0.40,6.50,1.40,Toggle,2022-04-27
buzz,,No,110,110,-3.0,270,0.50,3.0,1.00,Toggle,2021-05-09
ByMateos,,No,110,100,-3.0,270,0.60,2.50,1.20,Toggle,2021-05-09
Byra,DU,No,110,100,-4.0,260,0.45,5.30,1.20,Toggle,2025-01-15
cAbdllah,OFF,No,110,90,-5.0,270,0.35,5.50,1.30,Toggle,2025-02-23
caiotg1,SUN,No,109,110,-4.0,260,0.60,10.00,2.00,Hold,2022-07-29
CHEESE.,FUT,No,110,90,-5.0,270,0.35,7.00,1.30,Toggle,2025-01-19
CJM,,No,110,90,-4.0,230,0.70,4.00,1.20,Toggle,2021-05-09
caard,SUN,No,110,110,-4.0,270,0.50,10.00,2.00,Toggle,2023-03-03
cal,,No,110,90,-5.0,270,0.35,5.00,1.00,Toggle,2020-11-23
Caleb,,No,110,100,-3.0,270,0.35,8.00,1.40,Toggle,2024-12-06
callyøh,EEA,No,109,100,-3.0,270,0.40,4.60,1.30,Toggle,2022-10-17
Cam,DUB,No,110,90,-3.0,270,0.45,4.10,1.60,Toggle,2025-10-03
carca,,No,110,100,-4.0,250,0.40,7.50,1.80,Toggle,2022-04-18
Cass,BPC,No,110,110,-4.0,270,0.40,5.00,1.50,Toggle,2023-04-17
Catalysm,PDLC,No,110,100,-5.0,270,0.40,7.30,1.40,Toggle,2023-07-31
cavemanben,,No,109,100,-5.0,270,0.45,4.30,1.30,Toggle,2021-05-09
caz,,No,110,90,-2.0,270,0.50,8.70,1.90,Toggle,2021-05-09
ceeva,,No,110,100,-3.0,270,0.65,6.60,1.40,Toggle,2021-05-09
cg.,ISU,No,110,90,-4.0,270,0.35,6.00,1.20,Toggle,2025-05-17
change,,No,110,100,-4.0,270,0.45,6.50,1.50,Toggle,2021-05-09
CharlieB,CLNT,No,110,90,-5.0,270,0.35,6.50,1.40,Toggle,2023-02-13
Chausette45,ST,No,110,100,-4.0,270,0.45,10.00,1.30,Toggle,2022-08-13
Cheerio,,No,110,100,-5.0,260,0.45,5.20,1.30,Toggle,2022-12-12
Cheery,RBRN,No,110,100,-3.0,240,0.40,4.70,1.40,Toggle,2020-04-17
chez,,No,110,100,-3.0,260,0.65,4.00,1.80,Toggle,2023-07-23
Chicago,,No,110,100,-3.0,270,0.40,4.70,1.30,Toggle,2025-01-19
Chik'n,,No,110,100,-3.0,270,0.40,4.00,1.00,Toggle,2024-03-16
chikage,INF,No,110,100,-5.0,270,0.40,7.10,1.10,Toggle,2021-10-16
chilli,OCU,No,110,100,-4.0,270,0.40,4.00,1.30,Toggle,2020-09-05
Chippy,CC,No,110,110,-5.0,260,0.75,5.00,1.60,Toggle,2021-05-30
Choxic,MIZZ,No,110,100,-3.0,270,0.45,5.00,1.20,Toggle,2022-04-27
chr1s,,No,109,100,-3.0,270,0.45,10.00,2.00,Toggle,2021-08-12
ChristianW,,No,110,100,-3.0,270,0.45,10.00,1.20,Toggle,2022-01-24
Chrisx888,,No,110,100,-3.0,270,0.5,6.00,1.20,Toggle,2022-01-13
Chronic,,No,110,90,-4.0,270,0.35,5.00,1.30,Toggle,2023-07-23
Chronomia,ACND,No,110,110,-4.0,250,0.50,4.00,1.40,Toggle,2025-03-09
Chub,MACC,No,110,110,-3.0,250,0.55,8.10,1.70,Toggle,2021-04-26
ckeno,,No,109,90,-5.0,270,0.40,6.70,1.40,Toggle,2022-02-26
Clairity,,No,110,100,-4.0,270,0.60,5.00,1.40,Toggle,2022-10-16
classiiik,DZMF,No,110,90,-5.0,270,0.35,6.80,1.50,Toggle,2025-05-13
Claven,,No,110,100,-4.0,270,0.35,7.00,1.70,Toggle,2024-06-07
Claw-Z,,No,110,100,-4.0,260,0.60,5.30,1.50,Toggle,2022-04-27
ClayX,,No,110,100,-4.0,270,0.45,5.00,1.00,Hold,2021-05-09
Cleverly,RH,No,110,100,-3.0,270,0.35,5.00,1.40,Toggle,2023-03-17
Cloudy.,,No,109,100,-3.0,260,0.55,6.00,1.40,Toggle,2023-10-09
Cmoney,MISS,No,110,100,-5.0,270,0.45,4.7,1.20,Toggle,2021-07-01
CoCo,UU,No,110,110,-3.0,270,0.35,4.60,1.30,Toggle,2020-10-19
coKaaa,TOTS,No,110,100,-3.0,270,0.35,1.60,1.20,Toggle,2021-05-09
Cobbo,SKRM,No,110,110,-3.0,250,0.50,2.50,1.10,Toggle,2021-11-18
cocoo,AH,No,108,110,-6.0,270,0.45,4.20,1.00,Toggle,2022-07-22
